"ID","Label","Elevation (Ground) (m)","Elevation (Rim) (m)","Elevation (Invert) (m)","Flow (Total In) (L/s)","Flow (Total Out) (L/s)","Depth (Out) (m)","Depth (Flooding) (m)","Depth (Surcharged) (m)","Hydraulic Grade Line (Out) (m)","Hydraulic Grade Line (In) (m)","Is Overflowing?","Notes"
196,196,2.80,2.80,1.18,198.85,198.13,0.22,0.00,0.50,1.40,1.40,False,
197,197,2.66,2.66,0.31,437.31,429.01,0.94,0.00,0.50,1.25,1.25,False,
198,198,2.48,2.48,-0.13,782.89,765.60,1.36,0.00,0.50,1.23,1.23,False,
199,199,2.52,2.52,-0.34,765.60,763.59,1.55,0.00,0.50,1.21,1.21,False,
200,200,2.40,2.40,0.90,219.99,219.95,0.12,0.00,0.50,1.02,1.02,False,
201,201,2.40,2.40,0.90,86.71,86.71,0.08,0.00,0.50,0.98,0.98,False,
202,202,2.40,2.40,0.90,95.19,95.19,0.08,0.00,0.50,0.98,0.98,False,
203,203,2.40,2.40,0.90,44.64,44.64,0.05,0.00,0.50,0.95,0.95,False,
204,204,3.33,3.33,1.73,58.69,58.69,1.36,0.00,0.50,3.09,3.09,False,
205,205,3.45,3.45,1.70,110.74,110.74,1.39,0.00,0.50,3.09,3.09,False,
206,206,2.89,2.89,1.18,94.66,94.66,1.89,0.18,0.50,3.07,3.07,True,
207,207,3.12,3.12,1.36,205.40,205.40,1.70,0.00,0.50,3.06,3.06,False,
208,208,2.55,2.55,1.05,503.92,399.98,2.00,0.50,0.50,3.05,3.05,True,
209,209,3.64,3.64,1.74,173.90,173.90,1.32,0.00,0.50,3.06,3.06,False,
210,210,3.64,3.64,2.14,56.10,56.10,1.00,0.00,0.50,3.14,3.14,False,
211,211,2.57,2.57,-0.14,623.85,623.85,3.18,0.47,0.50,3.04,3.04,True,
212,212,2.94,2.94,0.80,168.10,168.10,2.27,0.13,0.50,3.07,3.07,True,
213,213,2.80,2.80,1.20,168.11,168.10,1.91,0.31,0.50,3.11,3.11,True,
214,214,3.68,3.68,2.18,58.69,58.69,0.92,0.00,0.50,3.10,3.10,False,
215,215,2.40,2.40,0.90,203.49,203.45,0.11,0.00,0.50,1.01,1.01,False,
216,216,2.40,2.40,0.90,203.49,203.45,0.11,0.00,0.50,1.01,1.01,False,
217,217,2.40,2.40,0.90,309.22,309.14,0.14,0.00,0.50,1.04,1.04,False,
218,218,3.40,3.40,1.65,40.36,40.30,0.08,0.00,0.50,1.73,1.73,False,
219,219,2.40,2.40,0.50,91.54,0.00,0.16,0.00,0.50,0.66,0.66,False,
220,220,2.40,2.40,0.23,306.73,165.13,0.57,0.00,0.50,0.80,0.80,False,
221,221,2.40,2.40,0.60,206.50,206.50,0.33,0.00,0.50,0.93,0.93,False,
222,222,2.40,2.40,0.60,47.55,47.36,0.38,0.00,0.50,0.98,0.98,False,
223,223,2.40,2.40,0.60,206.50,205.31,0.41,0.00,0.50,1.01,1.01,False,
224,224,2.40,2.40,0.23,563.01,0.00,0.53,0.00,0.50,0.76,0.76,False,
225,225,2.40,2.40,0.60,45.95,39.65,0.24,0.00,0.50,0.84,0.84,False,
226,226,2.40,2.40,0.23,244.77,745.17,0.59,0.00,0.50,0.82,0.82,False,
227,227,2.40,2.40,0.60,205.50,205.12,0.37,0.00,0.50,0.97,0.97,False,
228,228,2.77,2.77,1.07,170.66,169.99,0.22,0.00,0.50,1.29,1.29,False,
